#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
5,UK,"20,691,123",,"164,454 ",,"18,783,177",,"1,743,492",302,"302,049","2,401","500,714,605","7,309,433","68,502,521 ",Europe,34170,,,"25,452"
6,Germany,"20,170,130",,"128,757 ",,"15,646,000",,"4,395,373","2,494","239,416","1,528","104,701,826","1,242,794","84,247,107 ",Europe,46541,,,"52,172"
7,Russia,"17,739,462",,"367,013 ",,"16,606,691",,"765,758","2,300","121,468","2,513","273,400,000","1,872,056","146,042,647 ",Europe,83981,,,"5,243"
8,Turkey,"14,789,483",,"97,736 ",,"14,441,455",,"250,292",975,"172,155","1,138","152,414,773","1,774,167","85,907,818 ",Asia,68791,,,"2,913"
9,Italy,"14,304,111",,"158,700 ",,"12,891,028",,"1,254,383",452,"237,184","2,631","198,639,817","3,293,749","60,308,121 ",Europe,43800,,,"20,800"
10,S. Korea,"11,815,841","+318,130","14,899 ",+282,N/A,N/A,N/A,"1,216","230,124",290,"15,804,065","307,799","51,345,468 ",Asia,"43,4463","6,196",5,"210,952"
11,Spain,"11,451,676",,"102,392 ",,"10,755,608",,"593,676",510,"244,767","2,189","471,036,328","10,067,872","46,786,087 ",Europe,44570,,,"12,689"
12,Argentina,"9,025,257",,"127,904 ",,"8,835,483",,"61,870",603,"196,574","2,786","35,259,438","767,967","45,912,705 ",South America,53591,,,"1,348"
13,Vietnam,"8,919,557",,"42,258 ",,"5,166,117",,"3,711,182","3,353","90,231",427,"83,048,614","840,126","98,852,588 ",Asia,"112,3391",,,"37,543"
14,Netherlands,"7,728,860",,"21,891 ",,"6,213,062",,"1,493,907",156,"449,341","1,273","21,107,399","1,227,144","17,200,419 ",Europe,27861,,,"86,853"
15,Iran,"7,148,789",,"139,971 ",,"6,850,525",,"158,293","1,672","83,270","1,630","48,991,010","570,650","85,851,169 ",Asia,126132,,,"1,844"
16,Japan,"6,287,107",,"27,601 ",,"5,830,955",,"428,551",707,"49,974",219,"42,683,814","339,280","125,807,095 ",Asia,"204,5583",,,"3,406"
17,Colombia,"6,083,291",,"139,558 ",,"5,916,253",,"27,480",342,"117,392","2,693","33,803,790","652,326","51,820,384 ",South America,93712,,,530
18,Indonesia,"5,995,876",,"154,570 ",,"5,702,163",,"139,143","2,771","21,527",555,"91,376,175","328,074","278,523,326 ",Asia,"461,8023",,,500
19,Poland,"5,939,735",,"114,821 ",,"5,280,984",,"543,930",361,"157,240","3,040","35,402,625","937,199","37,774,948 ",Europe,63291,,,"14,399"
20,Mexico,"5,649,977","+2,936","322,735 ",+101,"4,947,014","+2,820","380,228","4,798","43,039","2,458","15,519,390","118,221","131,274,364 ",North America,234078,22,0.8,"2,896"
21,Ukraine,"4,952,913",,"107,811 ",,N/A,N/A,N/A,177,"114,440","2,491","19,521,252","451,050","43,279,544 ",Europe,94012,,,"18,186"
22,Australia,"4,268,013","+35,492","5,889 ",+7,"3,732,928",,"529,196",99,"164,083",226,"66,008,767","2,537,696","26,011,302 ",Australia/Oceania,"64,4170","1,364",0.3,"20,345"
23,Malaysia,"4,122,004",,"34,751 ",,"3,844,766",,"242,487",302,"124,597","1,050","55,592,016","1,680,392","33,082,767 ",Asia,89521,,,"7,330"
24,Israel,"3,848,021",,"10,460 ",,"3,766,357",,"71,204",283,"412,612","1,122","41,373,364","4,436,346","9,326,000 ",Asia,28920,,,"7,635"
25,Czechia,"3,784,532",,"39,527 ",,"3,672,240",,"72,765",103,"352,268","3,679","54,554,105","5,077,952","10,743,329 ",Europe,32720,,,"6,773"
26,Belgium,"3,782,085",,"30,686 ",,"3,498,355",,"253,044",167,"323,897","2,628","32,630,945","2,794,505","11,676,824 ",Europe,33810,,,"21,671"
27,South Africa,"3,712,263",,"99,965 ",,"3,597,725",,"14,573",546,"61,257","1,650","23,727,513","391,535","60,601,189 ",Africa,166063,,,240
28,Austria,"3,698,511",,"15,665 ",,"3,252,752",,"430,094",238,"406,643","1,722","173,506,959","19,076,679","9,095,239 ",Europe,25810,,,"47,288"
29,Philippines,"3,676,665",,"58,884 ",,"3,574,295",,"43,486",289,"32,798",525,"28,831,064","257,186","112,101,986 ",Asia,"301,9044",,,388
30,Peru,"3,544,862",,"212,102 ",,N/A,N/A,N/A,495,"104,984","6,282","28,511,805","844,401","33,765,703 ",South America,101591,,,"47,744"
31,Portugal,"3,534,003",,"21,545 ",,N/A,N/A,N/A,64,"348,339","2,124","39,734,174","3,916,507","10,145,309 ",Europe,34710,,,"62,717"
32,Thailand,"3,529,085","+25,821","24,802 ",+84,"3,252,350","+24,066","251,933","1,496","50,342",354,"17,270,775","246,364","70,102,784 ",Asia,"202,8264",368,1,"3,594"
33,Chile,"3,443,018",,"56,298 ",,"2,900,440",,"486,280",701,"177,476","2,902","35,177,165","1,813,268","19,399,868 ",South America,63451,,,"25,066"
34,Canada,"3,439,273",,"37,420 ",,"3,265,641",,"136,212",409,"89,765",977,"59,181,662","1,544,640","38,314,210 ",North America,"111,0241",,,"3,555"
35,Switzerland,"3,403,549",,"13,646 ",,"2,728,386","+17,542","661,517",150,"388,354","1,557","20,493,186","2,338,327","8,764,039 ",Europe,36420,,,"75,481"
36,Greece,"2,916,892",,"27,216 ",,"2,631,136",,"258,540",341,"282,233","2,633","72,710,891","7,035,377","10,335,038 ",Europe,43800,,,"25,016"
37,Denmark,"2,893,398",,"5,583 ",,"2,797,555",,"90,260",25,"496,510",958,"126,694,250","21,740,882","5,827,466 ",Europe,"21,0440",,,"15,489"
38,Romania,"2,838,849",,"64,895 ",,"2,606,660",,"167,294",399,"149,289","3,413","21,951,388","1,154,374","19,015,838 ",Europe,72931,,,"8,798"
39,Sweden,"2,481,736",,"18,155 ",,"2,423,315","+3,353","40,266",32,"243,114","1,778","18,382,831","1,800,802","10,208,133 ",Europe,45621,,,"3,945"
40,Iraq,"2,317,747",,"25,149 ",,"2,278,726",,"13,872",51,"55,473",602,"18,285,940","437,653","41,781,848 ",Asia,"181,6612",,,332
41,Serbia,"1,967,771",,"15,746 ",,"1,914,700",,"37,325",39,"226,792","1,815","9,120,134","1,051,127","8,676,527 ",Europe,45511,,,"4,302"
42,Bangladesh,"1,951,239",,"29,118 ",,"1,877,131",,"44,990","1,264","11,647",174,"13,779,983","82,256","167,525,666 ",Asia,"865,75312",,,269
43,Hungary,"1,839,358",,"45,258 ",,"1,693,393",,"100,707",70,"191,242","4,706","11,053,112","1,149,218","9,617,943 ",Europe,52131,,,"10,471"
44,Jordan,"1,689,314",,"14,003 ",,"1,668,852",,"6,459",276,"162,775","1,349","16,575,546","1,597,146","10,378,229 ",Asia,67411,,,622
45,Slovakia,"1,681,865",,"19,251 ",,"1,546,233",,"116,381",176,"307,796","3,523","6,812,898","1,246,821","5,464,214 ",Europe,32841,,,"21,299"
46,Georgia,"1,645,959",,"16,704 ",,"1,615,166",,"14,089",,"413,981","4,201","16,306,613","4,101,334","3,975,929 ",Asia,22380,,,"3,544"
47,Pakistan,"1,523,900",+310,"30,345 ",+5,"1,485,316",+231,"8,239",428,"6,675",133,"27,360,248","119,842","228,303,614 ",Asia,"1507,5248",1,0.02,36
